,게시글번호,기준일,기준시간,확진자 수,격리해제 수,검사진행수,사망자 수,치료중 환자수,결과 음성 수,누적 검사 수,누적 검사 완료 수,누적 확진률,등록일시분초,수정일시분초
0,651,20210930,00:00,311289,274205,1149658,2481,34603,13083311,14544258,13394600,2.3239887715,2021-09-30 09:58:40.205,null
1,650,20210929,00:00,308725,272724,1137617,2474,33527,13038918,14485260,13347643,2.3129551786,2021-09-29 09:58:03.378,null
2,649,20210928,00:00,305840,270928,1135394,2464,32448,12984337,14425571,13290177,2.3012485085,2021-09-28 09:57:34.945,2021-09-29 19:50:58.369
3,648,20210927,00:00,303551,269132,1120111,2456,31963,12942271,14365933,13245822,2.2916735556,2021-09-27 10:08:41.366,2021-09-29 19:52:23.167
4,647,20210926,00:00,301168,268140,1096862,2450,30578,12927905,14325935,13229073,2.2765616305,2021-09-26 09:38:04.296,2021-09-29 19:54:08.825
5,646,20210925,00:00,298399,266411,1056223,2441,29547,12930717,14285339,13229116,2.2556231270,2021-09-25 10:49:15.225,2021-09-29 19:55:51.474
6,645,20210924,00:00,295128,264490,1030500,2434,28204,12896055,14221683,13191183,2.2373126049,2021-09-24 09:53:29.116,2021-09-29 19:57:51.678
7,644,20210923,00:00,292698,262840,1034720,2427,27431,12823651,14151069,13116349,2.2315508683,2021-09-23 10:01:14.491,2021-09-29 19:59:09.429
8,643,20210922,00:00,290983,261810,997996,2419,26754,12823456,14112435,13114439,2.2187986844,2021-09-22 09:35:53.93,2021-09-29 20:01:46.502
9,642,20210921,00:00,289263,260088,965875,2413,26762,12826146,14081284,13115409,2.2055202395,2021-09-21 09:39:49.437,2021-09-29 20:03:48.311
10,641,20210920,00:00,287534,259008,953532,2409,26117,12809908,14050974,13097442,2.1953447092,2021-09-20 09:09:41.18,2021-09-29 20:04:59.469
11,640,20210919,00:00,285930,257447,932234,2403,26080,12802334,14020498,13088264,2.1846289164,2021-09-19 09:31:46.109,2021-09-29 20:06:48.46
12,639,20210918,00:00,284021,256012,917857,2394,25615,12784737,13986615,13068758,2.1732822659,2021-09-18 09:58:15.323,2021-09-29 20:08:00.394
13,638,20210917,00:00,281934,254078,921233,2389,25467,12735788,13938955,13017722,2.1657706317,2021-09-17 10:15:01.593,2021-09-29 20:09:40.901
14,637,20210916,00:00,279926,252028,920101,2386,25512,12690472,13890499,12970398,2.1581912906,2021-09-16 09:51:44.269,2021-09-29 20:10:44.927
15,636,20210915,00:00,277984,249820,914120,2380,25784,12646983,13839087,12924967,2.1507521063,2021-09-15 09:51:20.667,2021-09-29 20:12:24.275
