OID,CID,PID,QTY,ADDR,ODATE
o01,apple             ,p03,10,서울시 마포구,2022-01-01
o02,melon             ,p01,5,인천시 계양구,2022-01-10
o03,banana            ,p06,45,경기도 부천시,2022-01-11
o04,carrot            ,p02,8,부산시 금정구,2022-02-01
o05,melon             ,p06,36,경기도 용인시,2022-02-20
o06,banana            ,p01,19,충청북도 보은군,2022-03-02
o07,apple             ,p03,22,서울시 영등포구,2022-03-15
o08,pear              ,p02,50,강원도 춘천시,2022-04-10
o09,banana            ,p04,15,전라남도 목포시,2022-04-11
o10,carrot            ,p03,20,경기도 안양시,2022-04-22
